N	eigenvalue	difference	twstat	p-value	effect.n
1	11.927807	NA	53.795	3.02928e-116	141.407
2	10.331571	-1.596236	51.619	2.21522e-109	159.038
3	9.137690	-1.193881	49.921	3.99783e-104	176.258
4	8.019585	-1.118105	46.083	1.44331e-92	193.327
5	7.190689	-0.828896	43.073	7.81647e-84	209.080
6	6.689514	-0.501175	42.964	1.60791e-83	223.929
7	5.891076	-0.798438	36.702	2.40458e-66	239.327
8	5.651684	-0.239392	38.111	4.32303e-70	252.162
9	5.158310	-0.493374	34.357	2.87328e-60	266.164
10	4.818243	-0.340067	32.319	3.76852e-55	278.799
11	4.788022	-0.030221	36.296	2.80727e-65	290.872
12	4.637755	-0.150266	38.098	4.68609e-70	305.362
13	4.539171	-0.098584	41.242	1.15478e-78	321.360
14	4.143574	-0.395598	36.863	9.05767e-67	339.810
15	3.717868	-0.425705	30.019	1.44729e-49	356.356
16	3.610309	-0.107559	30.753	2.51113e-51	369.657
17	3.227789	-0.382520	22.943	9.81897e-34	383.769
18	3.098323	-0.129466	21.680	3.88601e-31	394.242
19	2.912842	-0.185481	18.267	1.69593e-24	404.369
20	2.835574	-0.077267	17.962	6.22708e-24	413.124
21	2.779480	-0.056094	18.282	1.59073e-24	421.937
22	2.722824	-0.056656	18.549	5.03913e-25	431.102
23	2.632320	-0.090504	17.525	3.95423e-23	440.607
24	2.524995	-0.107324	15.659	8.11918e-20	449.829
25	2.471775	-0.053220	15.613	9.73943e-20	458.353
26	2.459117	-0.012658	17.126	2.09321e-22	467.036
27	2.403084	-0.056032	16.981	3.82467e-22	476.663
28	2.306843	-0.096242	15.060	8.59362e-19	486.431
29	2.271125	-0.035718	15.471	1.70947e-19	495.429
30	2.250562	-0.020562	16.547	2.27061e-21	504.830
31	2.155764	-0.094798	14.322	1.47327e-17	515.008
32	2.129627	-0.026137	14.984	1.15335e-18	524.220
33	2.019764	-0.109862	11.685	2.07823e-13	533.980
34	1.962797	-0.056967	10.574	8.66481e-12	542.197
35	1.950385	-0.012412	11.532	3.51539e-13	550.001
36	1.918933	-0.031452	11.583	2.95032e-13	558.450
37	1.913608	-0.005325	12.953	2.3625e-15	567.091
38	1.889084	-0.024524	13.409	4.48595e-16	576.656
39	1.844342	-0.044742	12.777	4.45816e-15	586.677
40	1.789780	-0.054563	11.499	3.93343e-13	596.540
41	1.738289	-0.051490	10.231	2.6422e-11	605.864
