ID	start	stop	N2_ortho	sc_ortho_status
CB4856.Y113G7B.2	5734	7519	Y113G7B.2	Y
CB4856.Y113G7B.28	8478	8780	Y113G7B.28	Y
CB4856.Y113G7B.4	9370	10539	Y113G7B.4	Y
CB4856.Y113G7B.5b	11546	12754	Y113G7B.5b	Y
CB4856.Y113G7B.7	13904	15008	Y113G7B.7	Y
CB4856.Y113G7B.6	15617	16704	Y113G7B.6	Y
CB4856.Y113G7B.8	16799	17947	Y113G7B.8	Y
CB4856.g2	18456	19829	-	N
CB4856.g3	20364	21645	-	N
CB4856.g4	21976	22478	-	N
CB4856.g5	22517	23505	-	N
CB4856.g6	23557	24455	-	N
CB4856.g8	25935	29915	-	N
CB4856.g10	31736	35040	-	N
CB4856.Y113G7B.15	47500	51424	Y113G7B.15	Y
CB4856.Y113G7B.24a	52826	55358	Y113G7B.24a	Y
CB4856.Y113G7B.23c	57431	69081	Y113G7B.23c	Y
CB4856.Y113G7B.18a	72566	76198	Y113G7B.18a	Y
