chr	start	stop
I	1	432
I	1	432
I	1	433
I	1	432
I	1	432
I	1	434
I	1	432
I	1	432
I	1	436
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	433
I	1	432
I	1	432
I	1	435
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	433
I	1	438
I	1	432
I	1	432
I	1	432
I	1	433
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	1	432
I	2	432
I	2	432
I	2	432
I	2	432
I	2	432
I	2	432
I	3	432
I	3	432
I	3	432
I	3	433
I	3	432
I	5	432
I	5	432
I	431	620
I	577	46271
I	2052	2476
I	2053	3026
I	2053	3026
I	2053	2476
I	3038	3652
I	3228	3652
I	3228	3655
I	3228	3652
I	11881	12349
I	11881	12349
I	11881	12351
I	11884	12349
I	11884	12353
I	11884	12352
I	13558	14030
I	13609	14030
I	15528	15888
I	20108	20221
I	21533	21751
I	23713	24567
I	31234	31551
I	31234	31442
I	36973	37898
I	36974	37899
I	36974	37899
I	36974	37899
I	44987	45188
I	44987	45188
I	44987	45192
I	46376	59116
I	46554	46730
I	46555	46730
I	46555	46730
I	46555	46731
I	51429	52234
I	51433	52229
I	51435	51947
I	51436	52229
I	51437	52230
I	51437	52230
I	51437	52228
I	51438	52228
I	51438	52228
I	51438	52229
I	58272	58867
I	59204	106464
I	60812	61407
I	63290	63699
I	64469	64639
I	64745	64915
I	65166	65797
I	65192	66754
I	67117	67742
I	67763	67866
I	95561	95998
I	106472	131165
I	114800	114919
I	114800	114919
I	114800	114919
I	114800	114919
I	115097	115401
I	131318	187051
I	136756	137056
I	136863	137062
I	138088	139671
I	139764	139989
I	140553	141221
I	141671	141847
I	142307	142483
I	142991	143692
I	144253	144569
I	146619	146936
I	147046	147747
I	148366	148746
I	148366	148677
I	149651	149827
I	150383	151051
I	151454	151679
I	152067	153687
I	158358	158998
I	158360	158504
I	184308	184638
I	184310	185024
I	184310	185090
I	184871	184995
I	185098	188582
I	185098	188582
I	185098	188582
I	187051	216057
I	188023	188664
I	188443	188586
I	198285	198925
I	198285	198926
I	198287	198927
I	198289	198933
I	198360	198849
I	198360	198849
I	198462	198742
I	200842	201203
I	206094	206355
I	208472	208897
I	210648	213072
I	210847	216919
I	213178	216919
I	214466	215326
I	214863	216919
I	216209	264018
I	217550	218010
I	218740	219317
I	220604	221457
I	221715	222257
I	221787	221950
I	222054	222168
I	223392	226751
I	226748	227483
I	226751	227039
I	229060	230275
I	230457	232747
I	232751	233152
I	232751	236519
I	233081	234322
I	233605	236714
I	236714	237779
I	237780	238806
I	238519	238918
I	239253	239829
I	242109	242684
I	242680	246040
I	246537	246969
I	250963	255495
I	250963	255389
I	256947	257122
I	263706	264018
I	263706	264018
I	263706	264018
I	264018	264150
I	264018	266372
I	264018	264150
I	266373	280525
I	278595	278934
I	280520	281174
I	280527	281288
I	280603	282314
I	280716	281438
I	281448	283858
I	281448	282627
I	284001	327998
I	305558	305699
I	315727	316034
I	315736	316032
I	315739	316025
I	315741	316026
I	315741	316025
I	315784	316025
I	316245	317944
I	316246	317944
I	316248	318246
I	317655	318251
I	317655	318249
I	317655	318247
I	328418	335194
I	328458	329699
I	328468	329674
I	328468	328922
I	328469	329868
I	328469	329868
I	328469	329868
I	328469	329868
I	328469	329233
I	329325	329868
I	329674	329868
I	333422	333687
I	334676	335203
I	334677	335674
I	334677	339916
I	334677	335203
I	335397	335590
I	336274	336598
I	336462	336643
I	337042	337326
I	337042	337359
I	337102	337317
I	337102	337362
I	338511	341281
I	338511	341225
I	338882	341225
I	341406	359250
I	344410	344575
I	344679	344843
I	358785	358972
I	358790	358972
I	359080	402937
I	359080	359249
I	359082	359249
I	361811	361878
I	362050	362117
I	376290	376405
I	400745	401912
I	400745	401911
I	400745	401911
I	400745	401914
I	400745	401912
I	400748	401911
I	400748	401911
I	400748	401668
I	400748	401915
I	400748	401915
I	400788	401911
I	402495	428779
I	403879	404039
I	403880	404096
I	405271	405573
I	405271	405976
I	406664	407266
I	408868	409093
I	409254	409489
I	409892	410310
I	409892	410310
I	410022	410311
I	413631	413864
I	414160	415756
I	414165	415757
I	414167	415759
I	414167	415766
I	414167	415756
I	414167	415757
I	414167	415756
I	414167	415755
I	414167	415755
I	414167	415282
I	414357	414773
I	414539	415007
I	414723	415755
I	415215	415755
I	415282	415757
I	428420	428798
I	428845	528827
I	454089	454291
I	458793	458975
I	471486	471920
I	475361	475622
I	485638	485871
I	494743	494990
I	500233	500923
I	500234	500967
I	500236	500966
I	500236	500967
I	500236	500969
I	500262	500903
I	500322	500883
I	500350	500967
I	500632	500966
I	500705	500966
I	511792	512429
I	515348	515649
I	516026	516324
I	528689	533074
I	533076	544908
I	533335	533556
I	533601	533835
I	544788	546994
I	546936	550958
I	551097	581561
I	551931	552384
I	557610	558344
I	557610	558343
I	558005	558344
I	558013	558343
I	580350	581157
I	580350	594741
I	593893	594819
I	593995	598706
I	598756	601107
I	598756	601100
