ID	start	stop	N2_ortho	sc_ortho_status
NIC526.Y113G7B.2	1440	3225	Y113G7B.2	Y
NIC526.Y113G7B.28	4184	4486	Y113G7B.28	Y
NIC526.Y113G7B.4	5076	6245	Y113G7B.4	Y
NIC526.Y113G7B.5b	7252	8460	Y113G7B.5b	Y
NIC526.Y113G7B.7	9604	10713	Y113G7B.7	Y
NIC526.Y113G7B.6	11346	12420	Y113G7B.6	Y
NIC526.Y113G7B.8	12844	13676	Y113G7B.8	Y
NIC526.g1	14176	15770	g1	N
NIC526.g2	16592	17795	g2	N
NIC526.g3	19346	24195	g3	N
NIC526.g5	37529	38145	g5	N
NIC526.g6	39286	41255	g6	N
NIC526.Y113G7B.15	45055	49525	Y113G7B.15	Y
NIC526.Y113G7B.24a	50928	53539	Y113G7B.24a	Y
NIC526.Y113G7B.23c	55628	65693	Y113G7B.23c	Y
NIC526.Y113G7B.18a	68427	83994	Y113G7B.18a	Y
